District,Region,Variable_2,Local_Bivariate_I,P_Value,Significant
Adentan Municipal,Greater Accra,Poverty_Incidence_pct,-0.9095889201922094,0.002,1
Ledzokuku Municipal,Greater Accra,Poverty_Incidence_pct,-0.9183986311279264,0.001,1
Chereponi,North East,Poverty_Incidence_pct,-2.472496130053924,0.035,1
Wa East,Upper West,Poverty_Incidence_pct,-2.1024581203334094,0.002,1
Wa Municipal,Upper West,Poverty_Incidence_pct,-2.663072484923299,0.004,1
Saboba,Northern,Poverty_Incidence_pct,-3.5428247232335908,0.064,0
Jirapa Municipal,Upper West,Poverty_Incidence_pct,-1.5369688482253474,0.03,1
Gushegu Municipal,Northern,Poverty_Incidence_pct,-3.381086180264218,0.001,1
Sissala West,Upper West,Poverty_Incidence_pct,-1.7229800252913192,0.026,1
Nanumba North Municipal,Northern,Poverty_Incidence_pct,-2.9462949206347897,0.001,1
Lambussie Karni,Upper West,Poverty_Incidence_pct,-1.4519925191340577,0.047,1
Bolgatanga Municipal,Upper East,Poverty_Incidence_pct,-1.700045654351513,0.016,1
Nanumba South,Northern,Poverty_Incidence_pct,-3.154652220107099,0.001,1
Wenchi Municipal,Bono,Poverty_Incidence_pct,-0.17393711972877604,0.098,0
Bongo,Upper East,Poverty_Incidence_pct,-1.198163944218499,0.093,0
Tano South Municipal,Ahafo,Poverty_Incidence_pct,0.026196605202930042,0.419,0
Kasena Nankana West,Upper East,Poverty_Incidence_pct,-0.0,0.001,1
Wa West,Upper West,Poverty_Incidence_pct,-1.6627605794785947,0.033,1
Sunyani Municipal,Bono,Poverty_Incidence_pct,-0.16367944789476271,0.191,0
Sawla Tuna Kalba,Savannah,Poverty_Incidence_pct,-3.0832969805617876,0.003,1
Asante Akim South Municipal,Ashanti,Poverty_Incidence_pct,0.00044264053351680864,0.476,0
Sissala East Municipal,Upper West,Poverty_Incidence_pct,-2.1793096035610775,0.01,1
Ada East,Greater Accra,Poverty_Incidence_pct,0.3766288764225027,0.18,0
Shai-Osudoku,Greater Accra,Poverty_Incidence_pct,-0.02509394224620191,0.495,0
Kasena Nankana Municipal,Upper East,Poverty_Incidence_pct,-1.7365988887311437,0.014,1
Ada West,Greater Accra,Poverty_Incidence_pct,0.04256463774010621,0.422,0
Bunkpurugu Nakpanduri,North East,Poverty_Incidence_pct,-3.531407884906341,0.001,1
Garu,Upper East,Poverty_Incidence_pct,-1.99691980658819,0.003,1
Ningo-Prampram,Greater Accra,Poverty_Incidence_pct,-0.15195377972052965,0.399,0
East Mamprusi Municipal,North East,Poverty_Incidence_pct,-2.9719828068711016,0.001,1
La Dade-Kotopon Municipal,Greater Accra,Poverty_Incidence_pct,-0.8417541459871871,0.001,1
Bawku West,Upper East,Poverty_Incidence_pct,-3.2521075903119883,0.001,1
Aowin Municipal,Western North,Poverty_Incidence_pct,0.1377609760415827,0.364,0
Dormaa East,Bono,Poverty_Incidence_pct,-0.2900452349563307,0.028,1
Suaman,Western North,Poverty_Incidence_pct,-0.19776592538530283,0.38,0
Berekum East Municipal,Bono,Poverty_Incidence_pct,-0.2704028846358797,0.022,1
Bia East,Western North,Poverty_Incidence_pct,-0.310785513234359,0.273,0
Jaman South,Bono,Poverty_Incidence_pct,-0.3563927293720762,0.019,1
Bia West,Western North,Poverty_Incidence_pct,-0.1182990276789353,0.484,0
Sunyani West Municipal,Bono,Poverty_Incidence_pct,-0.21867802879202547,0.024,1
Asunafo North Municipal,Ahafo,Poverty_Incidence_pct,-0.06306696458667496,0.368,0
Bodi,Western North,Poverty_Incidence_pct,0.06888966469606406,0.424,0
Juaboso,Western North,Poverty_Incidence_pct,0.061321388724029084,0.419,0
Nkoranza North,Bono East,Poverty_Incidence_pct,-0.12018567218519273,0.181,0
Kintampo South,Bono East,Poverty_Incidence_pct,0.03994625042724577,0.366,0
Shama,Western,Poverty_Incidence_pct,-0.10063971707752023,0.451,0
Tano North Municipal,Ahafo,Poverty_Incidence_pct,-0.11307701206921997,0.193,0
Wassa East,Western,Poverty_Incidence_pct,-0.00628854329281698,0.495,0
Ketu North Municipal,Volta,Poverty_Incidence_pct,0.0428227673388695,0.342,0
Mpohor,Western,Poverty_Incidence_pct,-0.47854896394780183,0.097,0
Wassa Amenfi West Municipal,Western,Poverty_Incidence_pct,0.3714525196669749,0.168,0
Ketu South Municipal,Volta,Poverty_Incidence_pct,-0.02378343398275023,0.497,0
Wassa Amenfi Central,Western,Poverty_Incidence_pct,0.2772695297927614,0.224,0
Keta Municipal,Volta,Poverty_Incidence_pct,0.031231558277704526,0.372,0
Kadjebi,Oti,Poverty_Incidence_pct,0.15325258539648964,0.107,0
Mfantsiman Municipal,Central,Poverty_Incidence_pct,0.03676765812781318,0.369,0
South Tongu,Volta,Poverty_Incidence_pct,0.09039862542574073,0.158,0
Ekumfi,Central,Poverty_Incidence_pct,-0.004753090748001715,0.474,0
Twifo Heman Lower Denkyira,Central,Poverty_Incidence_pct,0.00014866432761532163,0.496,0
Jasikan Municipal,Oti,Poverty_Incidence_pct,-0.014556600899235786,0.488,0
Twifo Ati Morkwa,Central,Poverty_Incidence_pct,0.035037626924654196,0.325,0
Krachi East Municipal,Oti,Poverty_Incidence_pct,0.21005911697756835,0.022,1
Awutu Senya West,Central,Poverty_Incidence_pct,-0.18856890608364055,0.042,1
Nkwanta South Municipal,Oti,Poverty_Incidence_pct,0.272856177323684,0.014,1
Awutu Senya East Municipal,Central,Poverty_Incidence_pct,-0.18597385927890214,0.044,1
Afigya Kwabre South,Ashanti,Poverty_Incidence_pct,0.005451525341082122,0.008,1
La Nkwantanang Madina Municipal,Greater Accra,Poverty_Incidence_pct,-0.9527565037772237,0.001,1
Atwima Kwanwoma,Ashanti,Poverty_Incidence_pct,0.004726690133434445,0.045,1
Sekyere South,Ashanti,Poverty_Incidence_pct,0.003721494137923044,0.036,1
Ga East Municipal,Greater Accra,Poverty_Incidence_pct,-0.8998982381629206,0.001,1
Ayawaso West Municipal,Greater Accra,Poverty_Incidence_pct,-0.860915267272372,0.001,1
Sekyere East,Ashanti,Poverty_Incidence_pct,0.0026397117808488707,0.19,0
Ga South Municipal,Greater Accra,Poverty_Incidence_pct,-0.7968246202150292,0.004,1
Ga West Municipal,Greater Accra,Poverty_Incidence_pct,-0.8536472557504051,0.001,1
Sekyere Central,Ashanti,Poverty_Incidence_pct,-0.0012278994780711868,0.309,0
Ga Central Municipal,Greater Accra,Poverty_Incidence_pct,-0.885362215118987,0.001,1
Offinso North,Ashanti,Poverty_Incidence_pct,0.0029675971412894938,0.091,0
Krachi West Municipal,Oti,Poverty_Incidence_pct,0.3028028914882215,0.022,1
Offinso Municipal,Ashanti,Poverty_Incidence_pct,0.0018068350988537098,0.268,0
Obuasi Municipal,Ashanti,Poverty_Incidence_pct,0.0014239032910398424,0.375,0
Krachi Nchumuru,Oti,Poverty_Incidence_pct,0.3223163592198651,0.002,1
Kwabre East,Ashanti,Poverty_Incidence_pct,0.0059791962548256345,0.007,1
Agortime-Ziope,Volta,Poverty_Incidence_pct,0.04576382038423973,0.302,0
Adaklu,Volta,Poverty_Incidence_pct,-0.04915722496241489,0.417,0
Ejura Sekyedumase Municipal,Ashanti,Poverty_Incidence_pct,0.00040807030086694547,0.43,0
Atwima Nwabiagya South Municipal,Ashanti,Poverty_Incidence_pct,0.004077073673750206,0.038,1
Akatsi South Municipal,Volta,Poverty_Incidence_pct,0.05868138670115988,0.263,0
Atwima Mponua,Ashanti,Poverty_Incidence_pct,0.00011555294767579718,0.474,0
Akatsi North,Volta,Poverty_Incidence_pct,0.0015903569969144393,0.445,0
Ho Municipal,Volta,Poverty_Incidence_pct,0.0324425801199158,0.376,0
Adansi South,Ashanti,Poverty_Incidence_pct,-0.0026686804049708608,0.194,0
Hohoe Municipal,Volta,Poverty_Incidence_pct,0.04325527513965925,0.317,0
Adansi Asokwa,Ashanti,Poverty_Incidence_pct,0.0003788185655478303,0.467,0
Ho West,Volta,Poverty_Incidence_pct,0.0,0.001,1
Bosome Freho,Ashanti,Poverty_Incidence_pct,0.0025726987144814436,0.132,0
Afadzato South,Volta,Poverty_Incidence_pct,-0.03892120701039106,0.425,0
Ahafo Ano South East,Ashanti,Poverty_Incidence_pct,0.001966390018776155,0.257,0
North Dayi,Volta,Poverty_Incidence_pct,0.012547221283587805,0.425,0
Bekwai Municipal,Ashanti,Poverty_Incidence_pct,0.0019903232567645207,0.253,0
Kpando Municipal,Volta,Poverty_Incidence_pct,0.022927408502541553,0.383,0
Bosomtwi,Ashanti,Poverty_Incidence_pct,0.0056760419069729895,0.007,1
North Tongu,Volta,Poverty_Incidence_pct,0.09385868783205865,0.202,0
Central Tongu,Volta,Poverty_Incidence_pct,0.07586636331920553,0.217,0
Mampong Municipal,Ashanti,Poverty_Incidence_pct,-0.00011979055920980847,0.449,0
Ajumako Enyan Essiam,Central,Poverty_Incidence_pct,0.0079338047418306,0.448,0
Gomoa West,Central,Poverty_Incidence_pct,-0.06097910485066771,0.296,0
Agona West Municipal,Central,Poverty_Incidence_pct,-0.05492399563961138,0.375,0
Agona East,Central,Poverty_Incidence_pct,-0.14315558700071804,0.159,0
Assin North,Central,Poverty_Incidence_pct,0.03474928839079439,0.337,0
Assin South,Central,Poverty_Incidence_pct,0.015718945156045914,0.413,0
Asikuma Odoben Brakwa,Central,Poverty_Incidence_pct,-0.026378480787488646,0.42,0
Effutu Municipal,Central,Poverty_Incidence_pct,-0.22446705354918883,0.037,1
Gomoa East,Central,Poverty_Incidence_pct,-0.1364517160884771,0.035,1
Abura Asebu Kwamankese,Central,Poverty_Incidence_pct,-0.04108374601433975,0.38,0
Jomoro Municipal,Western,Poverty_Incidence_pct,0.2961061277676041,0.26,0
Ellembelle,Western,Poverty_Incidence_pct,0.38145946234111017,0.201,0
Dormaa Central Municipal,Bono,Poverty_Incidence_pct,0.0,0.001,1
Dormaa West,Bono,Poverty_Incidence_pct,0.050422170598152925,0.37,0
