District,HIV_Prev_Total_pct,G_Star_Z_Score,P_Value,Hotspot_Type
Adentan Municipal,2.5,0.723642813096749,0.4692850500858772,Not Significant
Ledzokuku Municipal,2.5,0.723642813096749,0.4692850500858772,Not Significant
Chereponi,0.3,-1.9591785252696743,0.050091883141938576,Not Significant
Wa East,0.4,-1.8874918287255409,0.05909420436984991,Not Significant
Wa Municipal,0.4,-1.835387478318047,0.06644829770908456,Not Significant
Saboba,0.3,-1.9591785252696743,0.050091883141938576,Not Significant
Jirapa Municipal,0.4,-1.835387478318047,0.06644829770908456,Not Significant
Gushegu Municipal,0.3,-1.959178525269674,0.050091883141938576,Not Significant
Sissala West,0.4,-1.835387478318047,0.06644829770908456,Not Significant
Nanumba North Municipal,0.3,-1.9591785252696743,0.050091883141938576,Not Significant
Lambussie Karni,0.4,-1.835387478318047,0.06644829770908456,Not Significant
Bolgatanga Municipal,0.6,-1.1942509416872884,0.232379821537688,Not Significant
Nanumba South,0.3,-1.5211118449431886,0.12823177250721862,Not Significant
Wenchi Municipal,2.2,0.35921470829349106,0.7194344743165813,Not Significant
Bongo,0.6,-1.0627540673401514,0.28789349460995317,Not Significant
Tano South Municipal,2.2,0.08735448588046255,0.9303897460288841,Not Significant
Kasena Nankana West,0.6,,,Not Significant
Wa West,0.4,-1.8657816827224187,0.06207191607805318,Not Significant
Sunyani Municipal,2.2,0.3592147082934908,0.7194344743165815,Not Significant
Sawla Tuna Kalba,0.3,-1.9105044496778425,0.05606829401809543,Not Significant
Asante Akim South Municipal,1.9,-0.004663969081570038,0.9962787045690715,Not Significant
Sissala West,0.4,-1.8110721147945497,0.07012968936845021,Not Significant
Ada East,2.5,0.4011938004652513,0.6882774447625359,Not Significant
Shai-Osudoku,2.5,0.6027244333599371,0.5466920245095304,Not Significant
Kasena Nankana West,0.6,-1.6615706028286514,0.09659890172460095,Not Significant
Ada West,2.5,0.53017340551785,0.5959917081234873,Not Significant
Bunkpurugu Nakpanduri,0.3,-1.8861674118819267,0.05927239845992993,Not Significant
Garu,0.6,-1.7101232948952867,0.08724307597306757,Not Significant
Ningo-Prampram,2.5,0.723642813096749,0.4692850500858772,Not Significant
East Mamprusi Municipal,0.3,-1.822282687667648,0.0684121036677321,Not Significant
La Dade-Kotopon Municipal,2.5,0.723642813096749,0.4692850500858772,Not Significant
Bawku West,0.6,-1.6615706028286514,0.09659890172460095,Not Significant
Aowin Municipal,2.7,0.9671767382884452,0.3334556887404434,Not Significant
Dormaa East,2.2,0.3592147082934908,0.7194344743165815,Not Significant
Suaman,2.7,0.9671767382884452,0.3334556887404434,Not Significant
Berekum East Municipal,2.2,0.35921470829349106,0.7194344743165813,Not Significant
Bia East,2.7,0.6646419856112625,0.506279508267939,Not Significant
Jaman South,2.2,0.3592147082934908,0.7194344743165815,Not Significant
Bia West,2.7,0.9671767382884452,0.3334556887404434,Not Significant
Sunyani West Municipal,2.2,0.3139046712246528,0.7535934424594979,Not Significant
Asunafo North Municipal,2.2,0.5605926508216601,0.575075262661422,Not Significant
Bodi,2.7,0.9671767382884452,0.3334556887404434,Not Significant
Juaboso,2.7,0.7942997367586264,0.42702095725732736,Not Significant
Nkoranza North,2.2,0.30743180878624743,0.758514719806411,Not Significant
Kintampo South,2.2,0.03125634474761573,0.9750651052268426,Not Significant
Shama,2.7,0.7856558866821349,0.43206911361914946,Not Significant
Tano North Municipal,2.2,0.2556489092790035,0.7982219488272935,Not Significant
Wassa East,2.7,0.6559981355347716,0.5118253238524801,Not Significant
Ketu North Municipal,2.1,0.23788829802122033,0.8119677318420169,Not Significant
Mpohor,2.7,0.9671767382884454,0.3334556887404434,Not Significant
Wassa Amenfi West Municipal,2.7,0.9671767382884454,0.3334556887404434,Not Significant
Ketu South Municipal,2.1,0.23788829802122033,0.8119677318420169,Not Significant
Wassa Amenfi Central,2.7,0.9671767382884456,0.3334556887404432,Not Significant
Keta Municipal,2.1,0.23788829802122033,0.8119677318420169,Not Significant
Kadjebi,2.1,0.23788829802122033,0.8119677318420169,Not Significant
Mfantsiman Municipal,2.1,0.23788829802121983,0.8119677318420171,Not Significant
South Tongu,2.1,0.3759568004021648,0.7069490121990065,Not Significant
