Region,District,Class,Latitude,Longitude,HIV_Prev_Total_pct,HIV_Prev_Women_pct,HIV_Prev_Men_pct,Condom_Use_Women_pct,Condom_Use_Men_pct,HighRisk_Sex_Women_pct,HighRisk_Sex_Men_pct,HIV_Awareness_Women_pct,HIV_Awareness_Men_pct,PMTCT_Knowledge_Women_pct,PMTCT_Knowledge_Men_pct,VCT_Women_pct,VCT_Men_pct,VCT_12mo_Women_pct,Refuse_Sex_Women_pct,Ask_Condom_STI_Women_pct,Modern_Contraception_pct,Unmet_FP_Need_pct,Adolescent_Fertility_Rate,Wife_Beating_Accept_pct,Poverty_Incidence_pct,Poverty_Intensity_pct,Illiteracy_Rate_pct,Uninsured_Rate_pct,Unemployment_Rate_pct,Youth_Dependency_Ratio,Total_Pop,Literacy_Women_pct,Secondary_Edu_Women_pct,Edu_Secondary_Women_pct,No_Education_Women_pct,No_Insurance_Women_pct,No_Insurance_Men_pct,LISA_Cluster_Type,LISA_Local_Morans_I,LISA_P_Value,LISA_Significant_Flag,Data_Source_HIV_Prevalence,Data_Source_Behavioural,Data_Source_Socioeconomic,Data_Source_Insurance,Data_Source_Education,Data_Source_Spatial_Boundaries
Ahafo,Asunafo North Municipal,Municipal,6.81509969999999,-2.67736640122449,2.2,2.9,1.4,8.8,29.7,29.3,43.5,96.5,98.8,79.6,67.0,57.4,26.0,13.3,75.3,92.9,29.8,24.1,60.0,22.8,26.1,42.0,26.32,14.24,46.82,59.28,151258,48.3,5.1,70.7,17.5,4.7,21.2,LH,0.2000049727443604,0.088,0,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 260 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),Ghana Statistical Service — Ghana_New_260_District.geojson
Ahafo,Asunafo North Municipal,Municipal,6.81509969999999,-2.67736640122449,2.2,2.9,1.4,8.8,29.7,29.3,43.5,96.5,98.8,79.6,67.0,57.4,26.0,13.3,75.3,92.9,29.8,24.1,60.0,22.8,26.1,42.0,26.32,14.24,46.82,59.28,151258,48.3,5.1,70.7,17.5,4.7,21.2,LH,0.3354100013834786,0.002,1,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 260 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),Ghana Statistical Service — Ghana_New_260_District.geojson
Ahafo,Asunafo South,District,6.56280465,-2.53279356335542,2.2,2.9,1.4,8.8,29.7,29.3,43.5,96.5,98.8,79.6,67.0,57.4,26.0,13.3,75.3,92.9,29.8,24.1,60.0,22.8,26.2,42.7,28.89,47.5,43.51,62.41,91693,48.3,5.1,70.7,17.5,4.7,21.2,LH,0.1884811405197546,0.134,0,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 260 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),Ghana Statistical Service — Ghana_New_260_District.geojson
Ahafo,Asutifi North,District,7.07651835,-2.52531850396715,2.2,2.9,1.4,8.8,29.7,29.3,43.5,96.5,98.8,79.6,67.0,57.4,26.0,13.3,75.3,92.9,29.8,24.1,60.0,22.8,26.6,43.1,25.55,17.3,48.59,58.29,73556,48.3,5.1,70.7,17.5,4.7,21.2,LH,0.1279810213405741,0.25,0,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 260 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),Ghana Statistical Service — Ghana_New_260_District.geojson
Ahafo,Asutifi South,District,6.84924284999999,-2.46125343688365,2.2,2.9,1.4,8.8,29.7,29.3,43.5,96.5,98.8,79.6,67.0,57.4,26.0,13.3,75.3,92.9,29.8,24.1,60.0,22.8,23.2,42.4,29.26,21.67,49.12,62.46,67334,48.3,5.1,70.7,17.5,4.7,21.2,LH,0.0724196874005103,0.316,0,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 260 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),Ghana Statistical Service — Ghana_New_260_District.geojson
Ahafo,Tano North Municipal,Municipal,7.19329065,-2.2080833699397,2.2,2.9,1.4,8.8,29.7,29.3,43.5,96.5,98.8,79.6,67.0,57.4,26.0,13.3,75.3,92.9,29.8,24.1,60.0,22.8,21.6,42.3,23.45,14.1,48.5,58.01,93838,48.3,5.1,70.7,17.5,4.7,21.2,LH,0.0909401320471983,0.275,0,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 260 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),Ghana Statistical Service — Ghana_New_260_District.geojson
Ahafo,Tano South Municipal,Municipal,7.16093674999999,-1.99681708617696,2.2,2.9,1.4,8.8,29.7,29.3,43.5,96.5,98.8,79.6,67.0,57.4,26.0,13.3,75.3,92.9,29.8,24.1,60.0,22.8,23.7,42.6,27.91,20.45,47.42,62.19,86989,48.3,5.1,70.7,17.5,4.7,21.2,LH,0.0307486869454625,0.482,0,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 260 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),Ghana Statistical Service — Ghana_New_260_District.geojson
Ahafo,Tano South Municipal,Municipal,7.16093674999999,-1.99681708617696,2.2,2.9,1.4,8.8,29.7,29.3,43.5,96.5,98.8,79.6,67.0,57.4,26.0,13.3,75.3,92.9,29.8,24.1,60.0,22.8,23.7,42.6,27.91,20.45,47.42,62.19,86989,48.3,5.1,70.7,17.5,4.7,21.2,LH,0.3008385047096611,0.03,1,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 260 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),Ghana Statistical Service — Ghana_New_260_District.geojson
Ashanti,Adansi Asokwa,District,6.2467263,-1.50841,1.9,2.6,1.1,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,26.9,23.0,62.0,16.0,32.4,43.3,28.26,50.15,48.11,62.99,71844,61.5,11.5,79.8,9.0,7.5,22.2,HL,2.1585599821316915e-05,0.446,0,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 260 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),Ghana Statistical Service — Ghana_New_260_District.geojson
Ashanti,Adansi North,District,6.3006124,-1.5897139446089,1.9,2.6,1.1,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,26.9,23.0,62.0,16.0,19.7,42.8,18.16,27.63,51.52,54.48,54155,61.5,11.5,79.8,9.0,7.5,22.2,HL,2.1585599821316915e-05,0.441,0,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 260 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),Ghana Statistical Service — Ghana_New_260_District.geojson
