District,Region,LISA_Local_Morans_I,LISA_P_Value,LISA_Significant_Flag,LISA_Cluster_Type
Adentan Municipal,Greater Accra,0.5066264117594405,0.094,0,NS
Ledzokuku Municipal,Greater Accra,0.5066264117594405,0.094,0,NS
Chereponi,North East,3.6929526326599342,0.008,1,LL
Wa East,Upper West,3.3396564545463896,0.001,1,LL
Wa Municipal,Upper West,3.2472108574654692,0.002,1,LL
Saboba,Northern,3.6929526326599342,0.102,0,NS
Jirapa Municipal,Upper West,3.2472108574654692,0.001,1,LL
Gushegu Municipal,Northern,3.6929526326599342,0.001,1,LL
Sissala West,Upper West,3.2472108574654692,0.002,1,LL
Nanumba North Municipal,Northern,3.6929526326599342,0.001,1,LL
Lambussie Karni,Upper West,3.2472108574654692,0.002,1,LL
Bolgatanga Municipal,Upper East,2.44170123997755,0.002,1,LL
Nanumba South,Northern,2.864825257439595,0.001,1,LL
Wenchi Municipal,Bono,0.12437307932264474,0.199,0,NS
Bongo,Upper East,2.44170123997755,0.01,1,LL
Tano South Municipal,Ahafo,0.029388416915663976,0.486,0,NS
Kasena Nankana West,Upper East,-0.0,0.001,1,LL
Wa West,Upper West,3.3011374557626727,0.002,1,LL
Sunyani Municipal,Bono,0.12437307932264474,0.299,0,NS
Sawla Tuna Kalba,Savannah,3.6009384798576747,0.001,1,LL
Asante Akim South Municipal,Ashanti,4.1545588877219546e-05,0.442,0,NS
Sissala East Municipal,Upper West,3.2040695788277067,0.001,1,LL
Ada East,Greater Accra,0.27942008652019157,0.358,0,NS
Shai-Osudoku,Greater Accra,0.42142403979472215,0.134,0,NS
Kasena Nankana Municipal,Upper East,2.553930289310637,0.002,1,LL
Ada West,Greater Accra,0.3703026166158912,0.145,0,NS
Bunkpurugu Nakpanduri,North East,3.5549314034565445,0.001,1,LL
Garu,Upper East,2.6287496555326944,0.001,1,LL
Ningo-Prampram,Greater Accra,0.5066264117594405,0.091,0,NS
East Mamprusi Municipal,North East,3.4341628279035783,0.001,1,LL
La Dade-Kotopon Municipal,Greater Accra,0.5066264117594405,0.059,0,NS
Bawku West,Upper East,2.553930289310637,0.001,1,LL
Aowin Municipal,Western North,0.9047518548856542,0.003,1,HH
Dormaa East,Bono,0.12437307932264474,0.245,0,NS
Suaman,Western North,0.9047518548856542,0.004,1,HH
Berekum East Municipal,Bono,0.12437307932264474,0.207,0,NS
Bia East,Western North,0.6201009808896835,0.092,0,NS
Jaman South,Bono,0.12437307932264474,0.359,0,NS
Bia West,Western North,0.9047518548856542,0.05,0,NS
Sunyani West Municipal,Bono,0.1085423022548146,0.21,0,NS
Asunafo North Municipal,Ahafo,0.1947320885130008,0.084,0,NS
Bodi,Western North,0.9047518548856542,0.004,1,HH
Juaboso,Western North,0.7420942126022424,0.007,1,HH
Nkoranza North,Bono East,0.10628076267369602,0.211,0,NS
Kintampo South,Bono East,0.009788407212636283,0.486,0,NS
Shama,Western,0.7339613304880717,0.038,1,HH
Tano North Municipal,Ahafo,0.08818844602474729,0.277,0,NS
Wassa East,Western,0.611968098775513,0.032,1,HH
Ketu North Municipal,Volta,0.054271257111052344,0.368,0,NS
Mpohor,Western,0.9047518548856542,0.001,1,HH
Wassa Amenfi West Municipal,Western,0.9047518548856542,0.001,1,HH
Ketu South Municipal,Volta,0.054271257111052344,0.484,0,NS
Wassa Amenfi Central,Western,0.9047518548856541,0.001,1,HH
Keta Municipal,Volta,0.054271257111052344,0.338,0,NS
Kadjebi,Oti,0.054271257111052344,0.366,0,NS
Mfantsiman Municipal,Central,0.05427125711105234,0.447,0,NS
South Tongu,Volta,0.08614144762234226,0.175,0,NS
Ekumfi,Central,0.05427125711105234,0.447,0,NS
Twifo Heman Lower Denkyira,Central,0.08215767380843103,0.208,0,NS
Jasikan Municipal,Oti,0.05427125711105234,0.447,0,NS
Twifo Ati Morkwa,Central,0.11701569468015444,0.074,0,NS
Krachi East Municipal,Oti,0.058918993227282127,0.289,0,NS
Awutu Senya West,Central,0.08215767380843103,0.297,0,NS
Nkwanta South Municipal,Oti,-0.046119842999511,0.302,0,NS
Awutu Senya East Municipal,Central,0.08215767380843103,0.297,0,NS
Afigya Kwabre South,Ashanti,4.154558887721954e-05,0.444,0,NS
La Nkwantanang Madina Municipal,Greater Accra,0.5066264117594405,0.062,0,NS
Atwima Kwanwoma,Ashanti,4.154558887721955e-05,0.425,0,NS
Sekyere South,Ashanti,4.154558887721955e-05,0.455,0,NS
Ga East Municipal,Greater Accra,0.5066264117594405,0.063,0,NS
Ayawaso West Municipal,Greater Accra,0.5066264117594406,0.013,1,HH
Sekyere East,Ashanti,4.154558887721955e-05,0.427,0,NS
Ga South Municipal,Greater Accra,0.42142403979472215,0.127,0,NS
Ga West Municipal,Greater Accra,0.5066264117594405,0.062,0,NS
Sekyere Central,Ashanti,-0.00042139097289748025,0.493,0,NS
Ga Central Municipal,Greater Accra,0.5066264117594405,0.062,0,NS
Offinso North,Ashanti,-0.001405131166668717,0.29,0,NS
Krachi West Municipal,Oti,0.06356672934351192,0.432,0,NS
Offinso Municipal,Ashanti,4.154558887721954e-05,0.429,0,NS
Obuasi Municipal,Ashanti,4.1545588877219546e-05,0.443,0,NS
Krachi Nchumuru,Oti,-0.10839950695699012,0.133,0,NS
Kwabre East,Ashanti,4.154558887721954e-05,0.428,0,NS
Agortime-Ziope,Volta,0.054271257111052344,0.346,0,NS
Adaklu,Volta,0.05427125711105234,0.446,0,NS
Ejura Sekyedumase Municipal,Ashanti,-0.0007300153474139468,0.412,0,NS
Atwima Nwabiagya South Municipal,Ashanti,4.154558887721954e-05,0.45,0,NS
Akatsi South Municipal,Volta,0.05427125711105233,0.327,0,NS
Atwima Mponua,Ashanti,-0.0018444922553900753,0.194,0,NS
Akatsi North,Volta,0.05427125711105234,0.446,0,NS
Ho Municipal,Volta,0.054271257111052344,0.477,0,NS
Adansi South,Ashanti,-0.00034423487926836364,0.5,0,NS
Hohoe Municipal,Volta,0.054271257111052344,0.375,0,NS
Adansi Asokwa,Ashanti,4.154558887721954e-05,0.425,0,NS
Ho West,Volta,0.0,0.001,1,HL
Bosome Freho,Ashanti,4.154558887721955e-05,0.454,0,NS
Afadzato South,Volta,0.054271257111052344,0.375,0,NS
