District,Region,gwr_local_r2
Adentan Municipal,Greater Accra,0.7215005631258918
Ledzokuku Municipal,Greater Accra,0.7280132385127641
Chereponi,North East,0.6438795721130035
Wa East,Upper West,0.5937535251639702
Wa Municipal,Upper West,0.7440247244513387
Saboba,Northern,0.709531031764996
Jirapa Municipal,Upper West,0.6514621214518928
Gushegu Municipal,Northern,0.5997288013089808
Sissala West,Upper West,0.5726050222425766
Nanumba North Municipal,Northern,0.8134615334102626
Lambussie Karni,Upper West,0.606903291036985
Bolgatanga Municipal,Upper East,0.4340515884969841
Nanumba South,Northern,0.8388558188991447
Wenchi Municipal,Bono,0.4454057884692355
Bongo,Upper East,0.43178129875878535
Tano South Municipal,Ahafo,0.7458968177872902
Kasena Nankana West,Upper East,0.4615175463006405
Wa West,Upper West,0.8258225072257619
Sunyani Municipal,Bono,0.6621034825790755
Sawla Tuna Kalba,Savannah,0.8505590106937382
Asante Akim South Municipal,Ashanti,0.864022820994815
Sissala East Municipal,Upper West,0.5075881034908498
Ada East,Greater Accra,0.8199184048125324
Shai-Osudoku,Greater Accra,0.7215900096274713
Kasena Nankana Municipal,Upper East,0.4441778084841202
Ada West,Greater Accra,0.8093653394320717
Bunkpurugu Nakpanduri,North East,0.4979748719393142
Garu,Upper East,0.40990307065218134
Ningo-Prampram,Greater Accra,0.6917585166674839
East Mamprusi Municipal,North East,0.3791093218008533
La Dade-Kotopon Municipal,Greater Accra,0.7359342231548919
Bawku West,Upper East,0.4051865559516481
Aowin Municipal,Western North,0.7500776815397099
Dormaa East,Bono,0.6280486976713018
Suaman,Western North,0.780912603696169
Berekum East Municipal,Bono,0.40293565303145124
Bia East,Western North,0.8010495951192845
Jaman South,Bono,0.4780054717130176
Bia West,Western North,0.8023025956286343
Sunyani West Municipal,Bono,0.3015876393475541
Asunafo North Municipal,Ahafo,0.8044805870979855
Bodi,Western North,0.806322110563891
Juaboso,Western North,0.8130702526663295
Nkoranza North,Bono East,0.5474166453675255
Kintampo South,Bono East,0.6579637114246929
Shama,Western,0.7141779028980302
Tano North Municipal,Ahafo,0.7226172703027024
Wassa East,Western,0.7133854471062624
Ketu North Municipal,Volta,0.7679333099987047
Mpohor,Western,0.7144825033064082
Wassa Amenfi West Municipal,Western,0.7680740034521131
Ketu South Municipal,Volta,0.7731455404700344
Wassa Amenfi Central,Western,0.7771511126943416
Keta Municipal,Volta,0.7985549950235228
Kadjebi,Oti,0.7674989080979226
Mfantsiman Municipal,Central,0.599889528229891
South Tongu,Volta,0.815022325489179
Ekumfi,Central,0.612738125407839
Twifo Heman Lower Denkyira,Central,0.6962571681748216
Jasikan Municipal,Oti,0.6559920393826001
Twifo Ati Morkwa,Central,0.7008199043526513
Krachi East Municipal,Oti,0.7815633074450126
Awutu Senya West,Central,0.8028959481802102
Nkwanta South Municipal,Oti,0.8400021839107582
Awutu Senya East Municipal,Central,0.7944561863707245
Afigya Kwabre South,Ashanti,-0.08787908754081165
La Nkwantanang Madina Municipal,Greater Accra,0.7236010466720469
Atwima Kwanwoma,Ashanti,0.10919667655561674
Sekyere South,Ashanti,0.33193694542162316
Ga East Municipal,Greater Accra,0.7615235871815176
Ayawaso West Municipal,Greater Accra,0.7385587909539411
Sekyere East,Ashanti,0.7166110050961614
Ga South Municipal,Greater Accra,0.7893847742197031
Ga West Municipal,Greater Accra,0.7792372077094221
Sekyere Central,Ashanti,0.7440871456738104
Ga Central Municipal,Greater Accra,0.7765875044542907
Offinso North,Ashanti,0.7585257969561743
Krachi West Municipal,Oti,0.7966808473302461
Offinso Municipal,Ashanti,0.4607116524348058
Obuasi Municipal,Ashanti,0.5993570020530105
Krachi Nchumuru,Oti,0.8211149375113439
Kwabre East,Ashanti,0.2861114813046844
Agortime-Ziope,Volta,0.7987878331212085
Adaklu,Volta,0.814337391746832
Ejura Sekyedumase Municipal,Ashanti,0.5686041518230235
Atwima Nwabiagya South Municipal,Ashanti,0.10154402464324733
Akatsi South Municipal,Volta,0.788642144587592
Atwima Mponua,Ashanti,0.7844834109329293
Akatsi North,Volta,0.782686361987309
Ho Municipal,Volta,0.8120518478533179
Adansi South,Ashanti,0.7952857448201761
Hohoe Municipal,Volta,0.7436528238223357
Adansi Asokwa,Ashanti,0.7788020482259636
Ho West,Volta,0.8336077386719409
Bosome Freho,Ashanti,0.8154270148430536
Afadzato South,Volta,0.804877610936452
Ahafo Ano South East,Ashanti,0.5543134953772952
North Dayi,Volta,0.8314841069767387
Bekwai Municipal,Ashanti,0.4920963212386468
Kpando Municipal,Volta,0.8082183442801193
Bosomtwi,Ashanti,0.6041316960246045
North Tongu,Volta,0.8173215139888104
Central Tongu,Volta,0.8104011224916239
Mampong Municipal,Ashanti,0.4795809628451692
Ajumako Enyan Essiam,Central,0.6743267580454095
Gomoa West,Central,0.7166156798771074
Agona West Municipal,Central,0.7844214545806582
Agona East,Central,0.7994384697007231
Assin North,Central,0.7586648617332384
Assin South,Central,0.6903843547818845
Asikuma Odoben Brakwa,Central,0.760024164273608
Effutu Municipal,Central,0.780764977349844
Gomoa East,Central,0.7928171458193808
Abura Asebu Kwamankese,Central,0.6446874990360385
Jomoro Municipal,Western,0.7057032006901796
Ellembelle,Western,0.7206008878583269
Dormaa Central Municipal,Bono,0.6746093688679891
Dormaa West,Bono,0.7839646561625057
Nadowli Kaleo,Upper West,0.7268347359302245
Prestea/Huni Valley Municipal,Western,0.7425906217707429
Ahanta West Municipal,Western,0.7088901510156569
Daffiama Bussie Issa,Upper West,0.6102418372066198
Nzema East Municipal,Western,0.7269863462520788
Lawra Municipal,Upper West,0.6686073929936952
Nandom,Upper West,0.6380065379344281
Tarkwa-Nsuaem Municipal,Western,0.7218860103920437
Talensi,Upper East,0.4074259590784056
Sefwi Akontombra,Western North,0.8041901218025342
Effia Kwesimintsim Municipal,Western,0.7141899609926811
Nabdam,Upper East,0.41634934230312365
Builsa South,Upper East,0.46115864638179066
Builsa North Municipal,Upper East,0.46001129110489986
Binduri,Upper East,0.41681784908873876
Pusiga,Upper East,0.4401936019744391
Bawku Municipal,Upper East,0.4274232746011335
North Gonja,Savannah,0.6483415037526863
West Gonja,Savannah,0.8392419163628625
Mion,Northern,0.7422921992561161
Yendi Municipal,Northern,0.740428649431746
Tolon,Northern,0.5961872376080318
Kumbungu,Northern,0.43302364220233625
West Mamprusi Municipal,North East,0.37318491377737206
Mamprugu Moagduri,North East,0.4636464702723927
Zabzugu,Northern,0.8070170216770794
Tatale Sanguli,Northern,0.8062447071052178
Sene East,Bono East,0.7299515418184596
Bibiani Anhwiaso Bekwai Municipal,Western North,0.8362136098015308
Sene West,Bono East,0.7389657587864904
Upper Denkyira East Municipal,Central,0.6950433382717133
Asutifi North,Ahafo,0.7617317265143131
Ahafo Ano North Municipal,Ashanti,0.7432620272795785
Amansie Central,Ashanti,0.5952500940403208
Amansie West,Ashanti,0.5093691769377495
Asutifi South,Ahafo,0.8000178438802912
Techiman Municipal,Bono East,0.3487353384760593
Upper Denkyira West,Central,0.7719730903467754
Techiman North,Bono East,0.29629999877956775
Cape Cape Metropolitan Area (CCMA)-Cape Coast South & Cape Coast North,Central,0.6717906624301206
Komenda Edina Eguafo Abirem Municipal,Central,0.7014754850235134
Banda,Bono,0.7872645725363393
Sefwi Wiawso Municipal,Western North,0.8404265422759549
Jaman North,Bono,0.5729353011633502
Asunafo South,Ahafo,0.8398839207745045
Tain,Bono,0.48465087414634367
Nkoranza South Municipal,Bono East,0.6271689886785069
Sekyere Kumawu,Ashanti,0.7621847588974514
Bole,Savannah,0.874887970792086
Sekyere Afram Plains,Ashanti,0.8325008679440414
Asante Akim North Municipal,Ashanti,0.8633778578543937
Asante Akim Central Municipal,Ashanti,0.818749986971908
Kintampo North Municipal,Bono East,0.83537454544277
Asokore Mampong Municipal,Ashanti,0.23490050703610477
Atebubu Amantin Municipal,Bono East,0.7006879720763448
Kwadaso Municipal,Ashanti,-0.08177744646154658
Kpandai,Northern,0.8383700432305671
Ejisu Municipal,Ashanti,0.6100712061176444
Nkwanta North (Kpassa),Oti,0.8421567167344788
Biakoye,Oti,0.6872651334694102
Wassa Amenfi East Municipal,Western,0.7680367159805348
Central Gonja,Savannah,0.8415592362211078
Tema West Municipal,Greater Accra,0.6886484652293586
Ashaiman Municipal,Greater Accra,0.671499690084501
Pru East,Bono East,0.7922756180045778
Kpone Katamanso Municipal,Greater Accra,0.6787367488618756
Savelugu Municipal,Northern,0.4399862359943619
Tamale Metropolitan Area (TMA)-Tamale Central & Tamale South,Northern,0.6672729328945525
Sagnarigu Municipal,Northern,0.5685251377866022
Karaga,Northern,0.46261146929912283
North East Gonja,Savannah,0.8271802973462941
South Dayi,Volta,0.8419817245826372
Tempane,Upper East,0.43776995845420275
Bolgatanga East,Upper East,0.42504532173378223
Yunyoo Nasuan,North East,0.49615152634708537
Nanton,Northern,0.6052160186959765
Assin Central Municipal,Central,0.7427632319672333
Gomoa Central,Central,0.7403128524500862
Pru West,Bono East,0.7537096374298032
Berekum West,Bono,0.43800090736228386
Ahafo Ano South West,Ashanti,0.7180833222797619
Amansie South,Ashanti,0.7315408130466481
Atwima Nwabiagya North,Ashanti,0.08323927542152869
Akrofuom,Ashanti,0.7051008053779053
Adansi North,Ashanti,0.6581742659200565
Obuasi East,Ashanti,0.6725545249472237
Afigya Kwabre North,Ashanti,0.2583681570364114
"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",Ashanti,0.03944417118562416
Oforikrom Municipal,Ashanti,0.2603532947963082
Asokwa Municipal,Ashanti,0.1909590768478065
Old Tafo Municipal,Ashanti,0.1118915666476471
Suame Municipal,Ashanti,-0.05662731787865725
Juaben Municipal,Ashanti,0.6263685306819636
Ablekuma Central Municipal,Greater Accra,0.7575044489887176
Korle Klottey Municipal,Greater Accra,0.7432804994379043
Ablekuma North Municipal,Greater Accra,0.7582462289550338
Ayawaso North Municipal,Greater Accra,0.7475018369783766
Ayawaso East Municipal,Greater Accra,0.7396419023538122
Okaikoi North Municipal,Greater Accra,0.7524166487616508
Ga North Municipal,Greater Accra,0.7674813662856641
Weija Gbawe Municipal,Greater Accra,0.7848939657227463
Krowor Municipal,Greater Accra,0.7042189460472348
Tema Metropolitan Area (TMA)-Tema Central & Tema East,Greater Accra,0.6603923552282738
East Gonja Municipal,Savannah,0.8323678526553576
Ablekuma West Municipal,Greater Accra,0.7650540795314881
