Region_Left_Out,N_Test_Districts,R2,RMSE,MAE
Ahafo,6,-5.07060240091162e+28,0.09999999999998721,0.09999999999998721
Ashanti,43,-7.770690679624805e+29,0.3914713937097225,0.3914465116279189
Bono,12,-3.273445693962942e+27,0.0254081351801516,0.024233333333324964
Bono East,11,-4.92652169465353e+28,0.0985690159689562,0.0985272727272597
Central,22,-6.2921060018477074e+29,0.3522639790116264,0.3522636363636543
Eastern,33,0.0,0.24190552125181977,0.24190303030301666
Greater Accra,29,0.0,0.2756157420057347,0.27560689655171033
North East,6,0.0,0.06830183013653532,0.06830000000000092
Northern,16,0.0,0.014810384870084296,0.013662500000000799
Oti,9,0.0,0.8599338501691112,0.8599333333333362
Savannah,7,0.0,0.018975021174466748,0.018371428571429427
Upper East,15,-1.951722771703767e+32,1.5510267730335,1.551026666666681
Upper West,11,0.0,0.09439191028511147,0.09352727272727175
Volta,18,0.0,0.6094558465458162,0.6094555555555462
Western,14,0.0,0.570024545837394,0.5699999999999863
Western North,9,0.0,0.5405831501463992,0.5405777777777614
